id,Restaurants,Category,Neighborhood,Price,Opening_Time,Closing_Time,Average_Rating,Good_for_kids
32,Tampflex,Mexican,Brooklyn,Medium,10:41,0:01,4,False
33,Tin,Vegan,Manhattan,Medium,12:59,0:06,4,True
34,Tres-Zap,Korean,East Village,Cheap,9:38,1:40,1,True
35,Voltsillam,Fast Food,East Village,Cheap,10:19,0:18,4,False
36,Quo Lux,Indian,Brooklyn,Expensive,8:36,0:59,4,False
37,Veribet,Italian,East Village,Medium,10:08,0:47,1,False
38,Treeflex,Fast Food,Manhattan,Medium,9:38,0:40,4,True
39,Ventosanzap,Chinese,East Village,Expensive,11:10,1:45,1,False
40,Cookley,Mexican,Bronx,Expensive,10:34,1:35,2,True
41,Tresom,Italian,Harlem,Cheap,11:22,1:11,1,False
42,Bitwolf,Japanese,Harlem,Expensive,9:06,0:29,2,True
43,Keylex,Indian,Hell's Kitchen,Cheap,8:35,0:17,2,True
44,Bitwolf,Mexican,Lower East Side,Medium,10:05,1:48,3,True
45,Stronghold,Korean,Brooklyn,Expensive,9:08,1:36,1,False
46,Domainer,Indian,Harlem,Cheap,8:28,1:59,5,False
47,Fix San,Vegan,East Village,Expensive,11:31,1:50,5,False
48,Tin,Chinese,Lower East Side,Cheap,12:04,1:28,1,False
49,Daltfresh,Fast Food,Hell's Kitchen,Expensive,10:47,1:17,1,True
50,Pannier,Indian,Manhattan,Medium,11:51,0:22,4,True
51,Y-find,Mexican,Hell's Kitchen,Medium,10:00,1:51,3,False
52,Alpha,Russian,East Village,Medium,8:42,1:01,5,True
53,Wrapsafe,Mexican,Brooklyn,Cheap,11:11,1:14,5,False
54,Flowdesk,Mexican,East Village,Medium,9:28,0:21,5,True
55,Bamity,Indian,Lower East Side,Medium,10:04,0:49,2,True
56,Voyatouch,Chinese,East Village,Expensive,10:19,1:34,1,False
57,Sonair,Fast Food,Manhattan,Expensive,8:41,0:10,2,False
58,Andalax,Mexican,Lower East Side,Medium,9:53,1:52,2,False
59,Tresom,Mexican,Brooklyn,Medium,8:46,0:58,5,True
60,Tampflex,Japanese,Bronx,Medium,8:25,1:54,5,True
61,Latlux,Kazakh,Brooklyn,Cheap,8:06,1:12,1,False
62,Trippledex,Chinese,Brooklyn,Medium,9:15,0:32,4,True
63,Tampflex,Italian,Lower East Side,Medium,11:45,1:30,4,False
64,Bigtax,Indian,East Village,Medium,12:53,1:23,3,False
65,Hatity,Chinese,Harlem,Cheap,12:59,0:59,4,True
66,Fintone,Mexican,East Village,Expensive,9:00,1:07,1,False
67,Y-find,Russian,Manhattan,Cheap,10:47,1:06,5,False
68,Subin,Vegan,Bronx,Expensive,8:20,0:05,3,False
69,Voyatouch,Indian,Harlem,Cheap,8:08,1:08,2,True
70,Overhold,Kazakh,Brooklyn,Cheap,12:39,0:04,2,True
71,Transcof,Fast Food,Brooklyn,Medium,10:36,0:44,2,True
72,Lotlux,Japanese,Manhattan,Expensive,12:12,1:19,1,False
73,Voyatouch,Vegan,East Village,Expensive,12:27,0:32,2,False
74,Bitwolf,Fast Food,Harlem,Cheap,11:30,1:09,2,False
75,Sub-Ex,Fast Food,Manhattan,Cheap,9:48,1:32,1,True
76,Overhold,Chinese,Bronx,Medium,11:13,1:41,4,False
77,Temp,Japanese,Brooklyn,Cheap,12:05,1:14,1,False
78,Wrapsafe,Mexican,Harlem,Cheap,9:53,0:55,4,False
79,It,Japanese,Bronx,Expensive,11:04,0:21,1,False
80,Lotstring,Vegan,Brooklyn,Medium,10:42,1:18,5,False
81,Lotstring,Russian,Hell's Kitchen,Cheap,11:52,0:05,3,False
82,Wrapsafe,Japanese,Manhattan,Medium,11:31,1:00,5,True
83,Home Ing,Vegan,Brooklyn,Expensive,10:23,0:46,3,False
84,Zathin,Vegan,Lower East Side,Expensive,9:19,0:29,4,False
85,Lotstring,Vegan,Lower East Side,Cheap,12:06,1:20,2,False
86,Namfix,Vegan,Lower East Side,Expensive,9:10,0:27,1,True
87,Latlux,Russian,Lower East Side,Cheap,12:13,0:51,3,True
88,Zoolab,Japanese,Manhattan,Cheap,8:24,1:37,2,False
89,It,Russian,Brooklyn,Expensive,10:53,0:39,3,False
90,Cookley,Vegan,Brooklyn,Cheap,9:57,0:04,3,True
91,Alphazap,Japanese,East Village,Medium,10:47,1:02,4,True
92,It,Italian,Harlem,Expensive,10:19,1:11,3,True
93,Prodder,Chinese,East Village,Cheap,12:06,0:54,3,False
94,Overhold,Russian,Manhattan,Cheap,12:28,0:45,3,False
95,Voltsillam,Italian,Hell's Kitchen,Cheap,9:56,1:38,2,False
96,Sonair,Kazakh,Lower East Side,Medium,8:14,1:42,5,True
97,Cardify,Italian,Manhattan,Medium,8:56,0:06,1,False
98,Subin,Kazakh,Lower East Side,Expensive,12:41,0:51,3,True
99,Stringtough,Indian,Lower East Side,Expensive,8:01,1:11,5,True
100,Bamity,Japanese,Manhattan,Expensive,9:13,0:59,3,False
101,Wrapsafe,Italian,Hell's Kitchen,Medium,8:25,1:40,2,False
102,Fix San,Korean,East Village,Cheap,11:56,0:30,2,True
103,It,Chinese,Lower East Side,Cheap,9:01,0:20,4,True
104,Stronghold,Italian,Lower East Side,Cheap,11:23,1:33,2,True
105,Cookley,Japanese,Hell's Kitchen,Medium,9:21,1:00,1,False
106,Domainer,Indian,Lower East Side,Cheap,8:13,1:32,1,False
107,Tresom,Fast Food,Bronx,Medium,10:42,0:48,4,False
108,Bitwolf,Japanese,Manhattan,Expensive,8:28,1:37,5,True
109,Matsoft,Japanese,Harlem,Medium,9:22,1:25,4,False
110,Home Ing,Italian,Manhattan,Expensive,11:45,0:01,1,True
111,Prodder,Kazakh,Brooklyn,Expensive,8:19,1:56,3,False
112,Zathin,Kazakh,Bronx,Cheap,10:07,1:22,1,True
113,Latlux,Russian,Hell's Kitchen,Expensive,12:46,1:16,3,False
114,Zamit,Japanese,Harlem,Medium,9:52,0:49,1,False
115,Wrapsafe,Vegan,East Village,Medium,11:01,1:11,4,True
116,Overhold,Indian,Manhattan,Expensive,9:44,0:46,5,False
117,Zoolab,Fast Food,Bronx,Expensive,11:49,0:11,4,True
118,Bitchip,Korean,Lower East Side,Expensive,12:50,0:16,1,True
119,Treeflex,Indian,East Village,Medium,11:34,1:32,3,False
120,Voyatouch,Vegan,Lower East Side,Expensive,9:59,1:56,4,False
121,Toughjoyfax,Fast Food,Brooklyn,Expensive,10:43,0:10,1,True
122,Pannier,Kazakh,Lower East Side,Expensive,12:29,0:56,3,False
123,Konklab,Italian,Bronx,Medium,11:06,1:38,3,False
124,Fix San,Mexican,Bronx,Medium,11:02,1:03,2,False
125,Bytecard,Vegan,Hell's Kitchen,Expensive,12:52,1:33,2,False
126,Sonair,Italian,Manhattan,Medium,9:24,1:41,1,True
127,Zathin,Italian,Brooklyn,Cheap,12:04,1:21,4,True
128,Opela,Fast Food,East Village,Cheap,8:33,0:20,1,True
129,Viva,Korean,Hell's Kitchen,Cheap,8:57,0:58,1,True
130,Lotlux,Kazakh,Brooklyn,Cheap,12:55,0:45,3,True
131,Domainer,Italian,Manhattan,Cheap,10:38,1:57,2,True
132,Zaam-Dox,Indian,Harlem,Medium,9:48,0:41,1,True
133,Tin,Russian,Bronx,Cheap,9:04,1:44,1,True
134,Zoolab,Korean,Manhattan,Medium,8:32,0:14,3,True
135,Zoolab,Fast Food,Harlem,Expensive,12:50,1:50,2,False
136,Job,Kazakh,Hell's Kitchen,Expensive,8:15,0:15,3,True
137,Cardguard,Italian,Harlem,Expensive,9:39,1:38,5,False
138,Keylex,Fast Food,Hell's Kitchen,Cheap,8:45,0:36,5,True
139,Rank,Fast Food,Hell's Kitchen,Cheap,10:38,1:35,1,True
140,Lotstring,Mexican,Harlem,Expensive,8:22,0:50,3,True
141,Prodder,Fast Food,Lower East Side,Medium,9:41,1:07,1,True
142,Zoolab,Italian,Harlem,Expensive,8:29,0:26,5,False
143,Home Ing,Italian,Lower East Side,Cheap,9:42,1:41,2,False
144,Lotlux,Japanese,Bronx,Medium,8:24,0:41,4,True
145,Vagram,Italian,Manhattan,Cheap,11:39,1:04,5,True
146,Lotlux,Japanese,Bronx,Medium,11:58,0:53,2,True
147,Viva,Korean,Bronx,Expensive,10:15,0:40,4,True
148,Cardguard,Italian,Harlem,Cheap,8:02,0:30,2,True
149,Sonair,Japanese,Bronx,Expensive,9:58,0:58,1,True
150,Matsoft,Indian,Harlem,Medium,11:34,0:18,1,True
151,Zoolab,Russian,Lower East Side,Expensive,12:09,0:59,3,False
152,Zoolab,Russian,Manhattan,Expensive,12:33,1:44,3,False
153,Zaam-Dox,Chinese,East Village,Medium,11:47,0:13,3,True
154,Zamit,Fast Food,Brooklyn,Expensive,10:52,1:29,5,False
155,Latlux,Kazakh,Lower East Side,Expensive,10:29,0:36,3,True
156,Bitwolf,Indian,Manhattan,Medium,9:29,0:58,2,True
157,Job,Vegan,Bronx,Cheap,10:05,0:24,3,False
158,Zaam-Dox,Russian,East Village,Medium,8:32,0:50,5,False
159,Greenlam,Korean,Hell's Kitchen,Expensive,12:31,0:47,2,False
160,Daltfresh,Mexican,Harlem,Cheap,11:52,0:42,2,True
161,Y-Solowarm,Italian,Bronx,Medium,8:20,0:35,5,False
162,Sonair,Fast Food,Lower East Side,Expensive,9:07,1:33,2,True
163,Quo Lux,Japanese,Brooklyn,Medium,12:19,0:32,2,False
164,Stringtough,Indian,Hell's Kitchen,Expensive,11:30,0:36,1,True
165,Daltfresh,Vegan,East Village,Medium,11:26,1:10,3,True
166,Tresom,Chinese,Harlem,Medium,10:32,1:58,3,True
167,Subin,Fast Food,Harlem,Medium,12:08,1:34,2,True
168,Rank,Korean,Bronx,Cheap,9:54,0:27,2,True
169,Redhold,Fast Food,East Village,Medium,8:54,0:50,1,True
170,Wrapsafe,Indian,Brooklyn,Medium,12:52,0:09,5,False
171,Cardify,Japanese,Manhattan,Expensive,9:43,0:10,4,True
172,Transcof,Italian,Bronx,Expensive,10:25,0:38,1,True
173,Alpha,Fast Food,Bronx,Cheap,10:21,0:08,3,False
174,Holdlamis,Japanese,Manhattan,Cheap,10:10,0:41,3,True
175,It,Vegan,Harlem,Cheap,9:16,2:00,2,True
176,Prodder,Italian,Bronx,Expensive,8:19,0:25,3,False
177,Temp,Indian,Manhattan,Medium,10:53,0:31,4,False
178,Hatity,Italian,Manhattan,Medium,10:13,1:06,2,True
179,Sub-Ex,Vegan,Harlem,Medium,12:17,0:12,5,True
180,Solarbreeze,Fast Food,Bronx,Expensive,8:03,1:20,2,True
181,Treeflex,Japanese,Harlem,Cheap,10:44,1:01,4,False
182,Y-find,Kazakh,Hell's Kitchen,Expensive,12:07,1:48,1,True
183,Fixflex,Indian,Bronx,Medium,12:59,0:27,4,False
184,Cardguard,Russian,Manhattan,Expensive,10:58,1:34,2,True
185,Bytecard,Russian,Lower East Side,Expensive,10:49,1:51,5,False
186,Flowdesk,Japanese,Lower East Side,Medium,11:22,0:33,4,False
187,Konklab,Mexican,Lower East Side,Medium,8:37,0:16,4,True
188,Tresom,Kazakh,Bronx,Expensive,11:10,0:34,2,False
189,Solarbreeze,Russian,East Village,Medium,8:11,0:09,1,False
190,Viva,Fast Food,Bronx,Medium,12:31,1:02,5,False
191,Toughjoyfax,Russian,Harlem,Cheap,8:36,1:32,1,True
192,Sub-Ex,Korean,Bronx,Cheap,10:13,0:06,1,True
193,Flowdesk,Russian,East Village,Medium,11:14,1:05,5,False
194,Span,Indian,Hell's Kitchen,Cheap,12:01,0:01,2,False
195,Zamit,Japanese,Hell's Kitchen,Medium,12:16,1:09,4,True
196,Tempsoft,Indian,Manhattan,Cheap,11:20,1:29,4,True
197,Temp,Indian,Lower East Side,Cheap,11:04,1:00,1,True
198,Mat Lam Tam,Kazakh,Brooklyn,Cheap,12:03,0:04,3,True
199,Konklux,Kazakh,Harlem,Cheap,9:09,1:10,2,False
200,Kanlam,Italian,Harlem,Cheap,10:12,1:45,3,True
201,Home Ing,Mexican,Hell's Kitchen,Expensive,10:29,0:57,2,False
202,Temp,Fast Food,Harlem,Cheap,8:32,1:17,2,True
203,Rank,Chinese,Brooklyn,Medium,11:20,0:00,4,True
204,Alphazap,Korean,Manhattan,Cheap,12:15,0:33,4,False
205,Redhold,Fast Food,Hell's Kitchen,Expensive,10:58,0:17,5,False
206,Domainer,Italian,Hell's Kitchen,Cheap,12:17,1:32,1,True
207,Otcom,Fast Food,East Village,Cheap,9:31,1:56,2,True
208,Zaam-Dox,Russian,Lower East Side,Medium,11:31,1:27,5,True
209,Temp,Russian,Bronx,Expensive,10:33,1:14,3,False
210,Temp,Russian,East Village,Cheap,9:25,1:45,2,True
211,Tempsoft,Kazakh,Manhattan,Cheap,11:45,0:40,1,False
212,Holdlamis,Korean,Brooklyn,Medium,10:59,0:32,1,True
213,Tin,Kazakh,East Village,Medium,12:33,1:30,1,True
214,Solarbreeze,Russian,Hell's Kitchen,Cheap,8:00,0:10,2,False
215,Voltsillam,Italian,East Village,Expensive,10:18,1:57,3,False
216,Subin,Fast Food,East Village,Cheap,11:06,0:49,3,False
217,Toughjoyfax,Indian,Bronx,Expensive,8:52,1:04,4,True
218,Ronstring,Kazakh,Harlem,Medium,8:11,0:29,5,False
219,Zathin,Russian,Harlem,Cheap,11:56,1:45,2,False
220,Ventosanzap,Fast Food,Brooklyn,Cheap,9:47,0:52,5,False
221,Domainer,Korean,Harlem,Medium,8:25,0:51,4,False
222,Domainer,Japanese,Bronx,Cheap,10:46,1:09,5,False
223,Treeflex,Indian,Hell's Kitchen,Expensive,8:01,0:03,1,True
224,Zaam-Dox,Fast Food,Bronx,Expensive,8:17,0:44,4,False
225,Subin,Fast Food,Bronx,Medium,10:55,0:04,2,False
226,Regrant,Japanese,Brooklyn,Cheap,11:54,0:29,4,True
227,Aerified,Fast Food,East Village,Medium,10:39,1:26,2,False
228,Regrant,Russian,Brooklyn,Cheap,12:42,0:05,4,False
229,Zathin,Italian,Brooklyn,Cheap,11:34,1:11,3,True
230,Temp,Mexican,Brooklyn,Cheap,12:34,0:43,4,True
231,Konklux,Fast Food,Hell's Kitchen,Cheap,12:41,1:21,3,False
232,Veribet,Chinese,Hell's Kitchen,Expensive,8:26,0:46,1,False
233,Domainer,Korean,Lower East Side,Expensive,9:35,1:45,4,True
234,Sonsing,Chinese,Brooklyn,Cheap,9:42,1:41,3,False
235,Y-find,Mexican,Bronx,Cheap,12:39,1:09,3,True
236,Trippledex,Mexican,Harlem,Expensive,9:14,0:15,1,False
237,Opela,Indian,Lower East Side,Cheap,8:38,1:16,2,True
238,Y-Solowarm,Fast Food,Lower East Side,Medium,9:20,0:25,1,False
239,Andalax,Korean,East Village,Medium,10:36,1:40,3,False
240,Vagram,Korean,Manhattan,Expensive,12:28,1:25,1,True
241,Regrant,Russian,Hell's Kitchen,Expensive,11:51,1:34,5,True
242,Quo Lux,Kazakh,Manhattan,Expensive,10:38,1:43,2,False
243,Opela,Mexican,Manhattan,Expensive,8:53,0:40,2,True
244,Tempsoft,Fast Food,East Village,Cheap,9:34,1:52,3,True
245,Tampflex,Fast Food,Brooklyn,Expensive,8:26,1:55,2,False
246,Job,Fast Food,Lower East Side,Cheap,9:42,0:12,1,False
247,Fixflex,Italian,Brooklyn,Cheap,8:29,1:25,3,True
248,Andalax,Vegan,Manhattan,Cheap,8:40,0:05,2,False
249,Mat Lam Tam,Indian,Brooklyn,Expensive,11:49,0:44,5,True
250,Fixflex,Fast Food,Harlem,Expensive,11:43,0:29,3,True
251,Opela,Vegan,Bronx,Expensive,10:01,1:33,1,True
252,Job,Italian,Manhattan,Medium,11:01,1:12,4,True
253,Solarbreeze,Indian,Harlem,Medium,9:25,0:51,1,False
254,Sub-Ex,Japanese,Lower East Side,Expensive,10:11,0:01,2,True
255,Temp,Fast Food,Lower East Side,Cheap,12:23,1:54,5,False
256,Flowdesk,Vegan,East Village,Cheap,10:51,0:55,4,True
257,Quo Lux,Kazakh,Harlem,Medium,8:24,0:49,5,False
258,Tempsoft,Vegan,Lower East Side,Expensive,12:11,0:46,1,False
259,Konklab,Korean,Brooklyn,Medium,9:15,0:18,1,False
260,Zontrax,Russian,Bronx,Cheap,8:04,0:15,2,False
261,Cookley,Russian,Hell's Kitchen,Cheap,8:44,1:11,4,True
262,Stronghold,Fast Food,Bronx,Medium,8:47,1:42,4,True
263,Cookley,Japanese,Bronx,Expensive,11:05,0:51,1,False
264,Kanlam,Indian,East Village,Cheap,12:47,0:07,5,True
265,Lotstring,Mexican,Manhattan,Expensive,11:36,1:48,1,True
266,Flowdesk,Mexican,East Village,Medium,11:40,1:09,2,False
267,Otcom,Vegan,Lower East Side,Medium,11:53,0:11,2,False
268,Cardguard,Fast Food,Manhattan,Medium,10:01,1:06,1,False
269,Holdlamis,Korean,Harlem,Cheap,11:28,1:44,4,True
270,Matsoft,Russian,Lower East Side,Cheap,8:12,0:49,1,False
271,Tres-Zap,Vegan,Hell's Kitchen,Expensive,12:27,0:13,5,True
272,Daltfresh,Italian,Manhattan,Cheap,8:27,0:03,5,True
273,Bitwolf,Japanese,Bronx,Expensive,12:15,1:40,4,True
274,Sub-Ex,Fast Food,East Village,Expensive,9:07,0:55,4,True
275,Stringtough,Fast Food,Manhattan,Expensive,8:16,1:01,3,True
276,Sub-Ex,Japanese,Harlem,Medium,11:32,0:12,4,False
277,Stim,Vegan,Lower East Side,Medium,12:16,1:31,2,False
278,Tin,Mexican,Manhattan,Expensive,8:03,1:42,4,False
279,Cardguard,Fast Food,Bronx,Medium,12:22,0:27,1,True
280,Stim,Vegan,Brooklyn,Medium,12:42,1:36,4,False
281,Domainer,Korean,Brooklyn,Medium,12:18,0:48,1,False
282,Hatity,Japanese,Brooklyn,Expensive,12:47,0:06,1,False
283,Redhold,Kazakh,East Village,Expensive,10:25,0:27,2,True
284,Job,Japanese,East Village,Expensive,11:50,1:47,5,True
285,Sonair,Indian,Lower East Side,Expensive,12:37,1:33,5,True
286,Stringtough,Indian,Harlem,Expensive,12:22,0:13,5,True
287,Solarbreeze,Fast Food,Brooklyn,Expensive,11:30,0:52,5,True
288,Voltsillam,Korean,Harlem,Medium,12:35,0:01,1,True
289,Lotstring,Mexican,East Village,Expensive,9:09,0:27,4,True
290,Sonsing,Russian,Bronx,Expensive,12:43,0:00,1,False
291,Job,Russian,Manhattan,Medium,12:34,0:53,3,True
292,Asoka,Vegan,Lower East Side,Cheap,8:10,1:08,2,False
293,Namfix,Russian,Harlem,Expensive,11:41,1:47,1,True
294,Lotlux,Mexican,Hell's Kitchen,Cheap,9:50,1:01,1,False
295,Zamit,Indian,Brooklyn,Cheap,12:45,1:05,3,False
296,Cardify,Italian,Manhattan,Expensive,8:32,1:07,1,False
297,Treeflex,Japanese,Manhattan,Expensive,9:50,0:25,4,True
298,Alphazap,Fast Food,Bronx,Expensive,9:36,0:34,4,False
299,Flowdesk,Japanese,Hell's Kitchen,Medium,8:03,1:03,1,False
300,Zoolab,Fast Food,Harlem,Cheap,10:37,1:51,2,True
301,It,Vegan,Brooklyn,Cheap,12:55,0:24,4,False
302,Wrapsafe,Japanese,Lower East Side,Cheap,11:56,1:02,5,True
303,Holdlamis,Indian,Lower East Side,Medium,8:23,1:23,1,False
304,Lotlux,Fast Food,Hell's Kitchen,Cheap,10:14,0:43,1,False
305,Daltfresh,Mexican,Manhattan,Cheap,12:10,0:36,1,True
306,Zoolab,Japanese,Manhattan,Expensive,8:36,1:48,5,True
307,Daltfresh,Indian,Lower East Side,Medium,8:43,1:52,1,False
308,Trippledex,Korean,Manhattan,Medium,10:51,0:17,2,True
309,Greenlam,Italian,Manhattan,Medium,10:12,1:31,4,True
310,Aerified,Mexican,Bronx,Medium,9:17,0:32,2,True
311,Tampflex,Chinese,Brooklyn,Cheap,8:43,0:53,3,False
312,Daltfresh,Fast Food,East Village,Medium,9:28,0:55,1,False
313,Sub-Ex,Kazakh,Bronx,Cheap,9:36,1:59,3,False
314,Andalax,Japanese,Bronx,Medium,8:34,0:35,3,True
315,Cardify,Chinese,Bronx,Medium,11:20,0:55,2,True
316,Ronstring,Vegan,Lower East Side,Expensive,11:08,0:59,1,False
317,Greenlam,Japanese,East Village,Medium,8:59,1:16,1,False
318,Wrapsafe,Chinese,Lower East Side,Expensive,9:46,0:48,1,True
319,Tampflex,Indian,Hell's Kitchen,Expensive,8:05,1:14,2,True
320,Otcom,Fast Food,Manhattan,Medium,11:22,1:44,1,True
321,Tempsoft,Fast Food,Brooklyn,Cheap,9:51,1:59,5,False
322,Y-Solowarm,Korean,Harlem,Expensive,9:10,0:20,3,False
323,Duobam,Italian,Hell's Kitchen,Expensive,9:34,1:40,5,True
324,Quo Lux,Japanese,Brooklyn,Expensive,8:14,1:10,5,False
325,Regrant,Japanese,Brooklyn,Cheap,9:38,1:04,5,True
326,Bitchip,Korean,Brooklyn,Medium,8:59,1:20,4,False
327,Transcof,Fast Food,Hell's Kitchen,Cheap,10:54,0:32,3,False
328,Holdlamis,Mexican,Brooklyn,Cheap,12:16,1:20,5,True
329,Andalax,Russian,Bronx,Expensive,12:53,1:05,4,False
330,Kanlam,Fast Food,Bronx,Cheap,11:07,0:07,5,True
331,Sonair,Kazakh,Lower East Side,Cheap,10:24,1:36,1,False
332,Alpha,Indian,Harlem,Expensive,11:29,0:20,4,True
333,Andalax,Russian,Brooklyn,Expensive,8:41,1:38,1,False
334,Zontrax,Italian,Bronx,Cheap,10:07,1:44,1,True
335,Duobam,Japanese,Brooklyn,Expensive,10:10,1:21,4,False
336,Daltfresh,Fast Food,Hell's Kitchen,Medium,11:04,1:14,2,False
337,Holdlamis,Fast Food,Brooklyn,Medium,12:40,1:30,2,True
338,Hatity,Vegan,Hell's Kitchen,Expensive,12:08,1:38,3,True
339,Tin,Kazakh,Brooklyn,Cheap,11:35,0:11,5,False
340,Domainer,Fast Food,Lower East Side,Expensive,9:47,0:14,3,False
341,Trippledex,Vegan,Hell's Kitchen,Medium,11:39,0:34,4,True
342,Viva,Russian,Harlem,Medium,9:43,0:27,4,False
343,Lotstring,Italian,Bronx,Cheap,11:33,0:05,3,False
344,Konklux,Kazakh,Hell's Kitchen,Expensive,8:45,0:42,2,False
345,Ronstring,Mexican,Hell's Kitchen,Cheap,10:13,1:25,2,True
346,Ventosanzap,Russian,Manhattan,Expensive,10:19,1:04,4,False
347,Tresom,Japanese,Hell's Kitchen,Expensive,8:54,1:46,2,True
348,Lotstring,Fast Food,Brooklyn,Medium,8:15,1:33,1,True
349,Tresom,Chinese,Lower East Side,Expensive,9:37,1:46,1,True
350,Tres-Zap,Indian,Lower East Side,Expensive,12:42,0:12,4,True
351,Hatity,Fast Food,Manhattan,Cheap,10:10,1:20,3,False
352,Otcom,Chinese,Harlem,Cheap,9:52,0:02,4,True
353,Subin,Vegan,Bronx,Cheap,12:59,0:57,2,False
354,Prodder,Japanese,Brooklyn,Expensive,8:49,1:13,3,True
355,Treeflex,Chinese,Manhattan,Medium,8:26,1:38,1,True
356,Bytecard,Russian,Lower East Side,Cheap,12:48,0:25,3,True
357,Treeflex,Japanese,Manhattan,Cheap,10:09,1:49,3,False
358,Vagram,Vegan,Manhattan,Cheap,10:00,1:24,1,False
359,Viva,Chinese,Harlem,Expensive,10:00,1:35,5,False
360,Mat Lam Tam,Italian,Brooklyn,Cheap,10:07,0:41,2,True
361,Tin,Korean,Bronx,Cheap,8:43,0:04,3,True
362,Namfix,Kazakh,Lower East Side,Expensive,9:32,1:09,4,False
363,It,Italian,Hell's Kitchen,Cheap,9:06,1:06,1,False
364,Sonsing,Japanese,East Village,Medium,12:15,1:46,3,False
365,Cardguard,Vegan,Manhattan,Cheap,12:05,1:32,4,False
366,Solarbreeze,Korean,Bronx,Expensive,11:30,0:24,5,True
367,Asoka,Mexican,Lower East Side,Medium,11:02,0:08,5,True
368,Konklux,Mexican,Bronx,Cheap,12:25,0:03,1,True
369,Hatity,Vegan,Brooklyn,Expensive,8:34,0:35,3,True
370,Solarbreeze,Mexican,Bronx,Expensive,8:11,1:01,3,True
371,Tresom,Fast Food,Manhattan,Cheap,11:10,0:02,2,False
372,It,Kazakh,East Village,Expensive,10:13,1:55,5,True
373,Stronghold,Kazakh,Bronx,Medium,10:56,0:13,1,True
374,Asoka,Mexican,Bronx,Expensive,12:10,0:31,2,True
375,Domainer,Vegan,East Village,Expensive,12:03,1:27,2,True
376,Zathin,Indian,Manhattan,Cheap,10:40,0:42,4,False
377,Temp,Kazakh,Hell's Kitchen,Expensive,9:43,0:59,2,False
378,Fixflex,Italian,East Village,Cheap,10:09,1:14,2,True
379,Job,Vegan,Manhattan,Cheap,10:13,1:51,4,False
380,Vagram,Japanese,Hell's Kitchen,Cheap,9:48,0:32,5,True
381,Voyatouch,Kazakh,Manhattan,Expensive,12:41,1:08,3,True
382,Bytecard,Fast Food,Bronx,Cheap,8:34,0:37,3,False
383,Bitchip,Fast Food,Brooklyn,Medium,8:05,0:15,4,True
384,Tresom,Chinese,Bronx,Cheap,8:17,0:59,4,True
385,Y-Solowarm,Japanese,Harlem,Expensive,11:21,0:19,1,True
386,Voyatouch,Fast Food,Lower East Side,Expensive,10:53,0:00,3,True
387,Hatity,Korean,Bronx,Medium,11:13,1:27,3,False
388,Hatity,Mexican,Lower East Side,Cheap,10:20,1:35,5,False
389,Cardify,Korean,Hell's Kitchen,Medium,9:20,1:53,2,False
390,Matsoft,Mexican,Brooklyn,Expensive,10:24,1:23,4,False
391,Trippledex,Japanese,Lower East Side,Expensive,10:04,0:49,1,False
